timestamp_unix_ms,target,deck,solver,run,status,elapsed_ms,diag_mode,pulse_rhs,exec,freq_mhz,abs_res,rel_res,diag_spread,sin_rel_res
1777288227205,unknown,corpus/dipole-ground-51seg.nec,hallen,1,ok,25,hallen,Nec2,gpu(cpu-fallback),14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
1777288227229,unknown,corpus/dipole-ground-51seg.nec,hallen,1,ok,15,hallen,Nec2,gpu(cpu-fallback),14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
1777288227263,unknown,corpus/dipole-ground-51seg.nec,hallen,1,ok,26,hallen,Nec2,gpu(cpu-fallback),14.200000,3.472274e-5,4.121275e-4,1.002869e0,0.000000e0
1777288227277,unknown,corpus/dipole-ground-51seg.nec,pulse,1,ok,5,pulse,Nec2,cpu,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
1777288227298,unknown,corpus/dipole-ground-51seg.nec,pulse,1,ok,13,pulse,Nec2,cpu,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
1777288227323,unknown,corpus/dipole-ground-51seg.nec,pulse,1,ok,15,pulse,Nec2,cpu,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
1777288227335,unknown,corpus/dipole-ground-51seg.nec,pulse,1,ok,5,pulse,Nec2,hybrid,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
1777288227354,unknown,corpus/dipole-ground-51seg.nec,pulse,1,ok,12,pulse,Nec2,hybrid,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
1777288227367,unknown,corpus/dipole-ground-51seg.nec,pulse,1,ok,5,pulse,Nec2,hybrid,14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
1777288227381,unknown,corpus/dipole-ground-51seg.nec,pulse,1,ok,5,pulse,Nec2,gpu(cpu-fallback),14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
1777288227403,unknown,corpus/dipole-ground-51seg.nec,pulse,1,ok,15,pulse,Nec2,gpu(cpu-fallback),14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
1777288227428,unknown,corpus/dipole-ground-51seg.nec,pulse,1,ok,14,pulse,Nec2,gpu(cpu-fallback),14.200000,3.352639e-15,1.466147e-14,1.000000e0,0.000000e0
